</s> 583
198 269
201 269
11 269
262 145
13 269
290 568
286 145
284 79
447 22
257 133
220 746
287 145
314 269
326 115
373 64
339 99
465 467
26 122
247 22
340 115
351 467
250 22
329 122
251 22
318 475
355 917
345 269
550 64
407 608
837 747
82 22
607 293
307 122
319 514
25 714
683 99
12 228
379 64
416 145
616 269
764 747
423 269
543 43
502 269
30 538
475 115
477 325
422 873
428 122
673 293
0 786
531 503
484 568
564 22
523 115
547 568
383 747
366 558
389 124
530 115
606 568
40 538
1169 326
281 917
511 568
393 505
508 70
561 99
481 269
645 269
618 156
392 326
356 124
587 64
503 156
612 115
83 922
644 115
611 269
510 156
1 140
960 22
534 269
517 505
466 269
796 747
582 170
438 140
843 714
679 99
656 156
705 761
306 254
338 140
464 211
64 326
276 467
845 244
714 99
67 604
621 505
783 269
640 306
2236 125
750 99
31 747
2488 747
617 312
2402 380
357 800
788 156
259 326
468 475
597 632
588 3
546 115
1659 326
584 568
691 628
760 269
884 632
815 122
1462 326
674 124
1870 685
278 467
716 269
922 269
925 64
460 269
878 156
514 124
1310 293
766 269
625 156
887 115
734 262
632 115
717 305
526 140
743 122
898 632
881 244
2241 99
663 728
706 156
62 395
1282 674
1770 149
910 269
1049 889
1276 269
5562 494
866 156
777 568
467 881
246 22
14210 158
880 244
1110 549
1625 156
1239 115
810 871
1468 118
852 632
883 568
787 269
703 115
1450 568
749 505
757 156
835 156
554 747
271 952
1165 115
11906 125
88 372
1021 229
635 483
1816 156
1204 325
270 494
292 326
1231 632
317 746
890 64
1244 805
994 269
553 140
1267 329
1497 156
772 325
261 268
258 494
892 269
976 986
1807 115
263 573
1793 491
1375 293
2951 254
2156 856
661 568
790 325
867 568
76 853
1544 211
991 902
385 402
1011 269
32 211
400 212
736 156
288 214
260 258
272 459
572 156
17903 125
1182 229
996 99
273 77
832 798
1028 121
1842 875
1537 685
4808 228
12722 714
655 115
938 64
2147 115
981 156
1865 512
1718 514
1194 986
268 235
2497 64
301 146
1108 238
1309 269
395 146
