</s> 0
220 7
198 7
262 3
13 16
11 3
290 3
284 3
286 3
257 3
25 9
287 3
12 25
366 20
326 3
318 3
460 3
329 15
62 25
796 7
7 7
345 3
351 3
8 7
930 9
29 24
319 3
197 24
355 3
307 3
338 3
63 29
393 3
389 3
1366 17
30 3
32 3
383 3
281 3
2438 26
340 3
357 18
17 29
1 25
48 3
1600 20
16 29
1391 7
511 3
26 7
779 3
416 3
428 26
15506 29
91 9
423 3
534 15
314 27
422 3
1262 26
884 3
92 29
2148 3
356 0
1123 26
705 20
1298 20
18 6
3556 24
635 3
352 12
464 3
27 24
82 25
532 12
1279 25
770 3
1672 26
4600 29
14 29
973 3
1343 12
611 26
58 29
657 12
468 3
543 3
1782 7
517 3
7203 7
481 26
2 29
60 29
656 3
1776 7
2251 30
815 3
362 12
407 3
20 12
703 3
1271 26
19 6
649 7
720 29
90 29
59 29
663 3
1037 15
640 15
6 25
584 3
777 3
2514 26
743 3
597 3
484 13
379 2
3084 26
1321 3
2163 26
3419 7
513 12
477 26
3256 20
1180 3
1912 3
6827 26
15 29
1680 3
0 27
714 3
373 13
561 3
87 0
1351 26
2836 16
685 25
642 12
1708 26
2928 3
761 3
632 3
79 29
2291 3
2746 17
981 3
3781 3
72 29
77 29
9552 3
4673 17
475 3
1022 3
12032 3
606 15
2176 3
2785 3
3303 3
1573 26
278 1
787 15
734 26
546 3
3423 26
317 9
554 3
838 12
530 26
818 3
3373 7
617 3
4 12
2625 25
1080 23
1374 3
1390 3
1114 3
1441 7
4155 23
327 18
921 3
788 26
508 13
1813 26
2456 26
3672 25
1635 0
526 27
2420 26
1212 26
604 12
69 29
510 27
1276 3
4342 26
5911 3
6491 15
71 9
4943 7
3 29
1438 25
1919 28
5128 26
64 19
378 7
2102 3
588 27
717 26
7890 29
66 29
1312 7
5239 29
832 3
612 3
28 29
83 29
5087 3
625 28
7716 26
1430 26
2124 0
40 27
1988 0
2568 14
11862 17
1593 3
810 3
21 12
1303 29
828 18
587 3
16602 3
880 3
900 26
1429 3
11361 26
4731 26
10786 29
621 3
3146 26
749 3
466 27
3748 30
5765 16
670 15
691 26
8671 20
67 29
1867 3
1064 26
34 18
15284 0
3815 26
5794 26
4572 17
4528 24
2472 0
1003 7
835 3
88 29
9959 7
465 13
2393 26
2972 3
7605 17
2987 15
1115 26
775 26
1096 17
503 27
644 3
674 15
7177 26
6831 23
1398 7
11748 7
1002 26
1111 3
3467 29
651 7
1502 26
618 23
1660 14
3037 3
2099 26
737 7
22 12
5072 26
3716 3
1220 12
3033 16
1720 15
70 29
23 12
4008 29
2383 28
1998 15
1535 22
437 29
10451 0
16113 17
4222 3
2854 17
661 15
607 13
502 27
994 26
550 13
718 12
1029 14
616 27
6624 25
19449 26
4646 14
751 26
11532 16
9783 7
3925 15
65 29
600 7
2837 3
1722 27
299 0
75 29
1994 26
19457 3
1011 15
1895 23
886 26
15027 26
9461 3
16363 26
61 0
2160 0
2446 26
940 12
995 13
767 12
3544 17
1136 7
3124 30
331 0
276 25
8841 7
312 25
341 24
807 12
1255 26
4876 26
81 29
2599 29
2985 15
3288 3
50 18
35 18
1171 7
2478 3
37 18
347 18
8172 7
764 29
5004 3
9815 3
1744 3
1486 30
1664 15
292 19
4831 23
15598 26
1675 3
5320 24
3341 23
830 12
7572 3
523 27
259 29
4738 26
765 26
500 17
4678 15
1388 7
2056 15
6467 3
1119 13
269 29
8964 20
2443 16
2073 7
493 7
1911 26
1074 15
6291 26
4064 29
1692 3
1487 14
1309 7
27039 17
400 20
33 18
1104 15
1204 10
24 12
3164 3
1222 9
1459 3
4798 7
4775 29
3275 26
2695 16
13610 16
3052 16
274 19
6496 3
547 13
10100 7
1462 29
1110 27
1141 2
68 19
1575 28
2057 14
2435 25
3407 3
371 17
2074 3
890 3
3294 3
5981 3
2482 26
852 3
6601 7
2810 26
2476 15
3601 26
2267 3
4133 15
583 12
486 12
76 29
1410 15
1802 12
73 29
11537 29
6459 3
1296 26
1339 26
2858 14
51 18
1160 12
2551 17
4069 3
2614 15
263 24
7359 25
1241 3
8494 0
4237 14
4034 3
1551 26
1848 3
6096 3
5951 31
4847 30
361 29
24293 29
17816 25
470 27
3967 3
1176 31
339 13
34086 29
3047 17
1616 7
3650 26
2134 26
540 6
867 3
594 26
925 3
1981 3
1048 27
11409 28
1588 17
4357 25
45 18
860 12
2811 2
2324 23
9018 3
47 18
10 29
7839 9
2494 28
3788 16
1621 30
1353 2
3186 15
1085 28
2312 3
4297 15
15028 3
1626 3
976 26
8861 15
4067 2
1448 15
12405 26
448 7
1043 4
878 23
2989 16
6142 14
5218 7
3034 28
1370 29
4693 4
6946 15
4899 16
10903 7
2620 28
7587 17
3494 23
1989 0
2831 28
3349 28
16350 3
1266 15
4776 26
9922 17
7925 26
4610 0
1642 3
4880 26
13096 26
48780 17
1498 3
282 17
10064 15
983 30
4441 30
2095 26
2974 14
2458 3
38 18
1231 23
3518 22
3265 2
3306 23
15341 7
9186 25
1640 7
4633 3
39442 26
1833 3
271 19
2939 16
2753 26
55 7
2896 7
1917 3
2846 3
2882 23
785 29
3435 26
5888 17
